ID,name,desic,description
int,string,string,string
55200,Fuel Canister,燃料储罐,用于储存燃料
4638,MOX Nuclear Fuel,钚铀混合氧化物核燃料,用于填充燃料棒
9337,Containment Box,防辐射容纳盒,有了他就不用担心辐射了
9843,Lead Item Casing,铅质外壳,可以拿来制作防辐射容纳盒
4620,Hammer,锤子,遇事不决锤一下
4672,Lead Ingot,铅锭,据说可以用来防辐射，但是得加工一下
4642,Fuel Rod (Depleted MOX),燃料棒 (枯竭MOX),将近枯竭的燃料棒，说不定可以从里面提取出一些原料，但是得小心辐射
4639,Fuel Rod (Depleted Uranium),燃料棒(枯竭铀),将近枯竭的燃料棒，说不定可以从里面提取出一些原料，但是得小心辐射
4637,Plutonium,钚,制作核燃料的原料之一
4633,Uranium 238,铀-238,制作核燃料的原料之一
4645,Fuel Rod (MOX),燃料棒(MOX),崭新出场的核燃料棒
4618,Fuel Rod (Empty),燃料棒(空),空的燃料棒
